feature,prauc,drop,importance
sepsis_window,0.017559454703220526,0.5253061541793781,0.5253061541793781
sd_hr,0.5331431824550296,0.009722426427569042,0.009722426427569042
kurtosis_spo2,0.534273975696292,0.008591633186306624,0.008591633186306624
skewness_hr,0.5356334542681616,0.0072321546144370474,0.0072321546144370474
skewness_spo2,0.5360094345590648,0.0068561743235338035,0.0068561743235338035
kurtosis_hr,0.5372429474281033,0.0056226614544953035,0.0056226614544953035
mean_hr,0.540481942938126,0.0023836659444725905,0.0023836659444725905
sd_spo2,0.5405037437931963,0.002361865089402282,0.002361865089402282
blackout_window,0.5408034877658073,0.002062121116791271,0.002062121116791271
max_xc_hr_spo2,0.542201190103285,0.0006644187793135581,0.0006644187793135581
sub,0.5427716419170134,9.396696558516826e-05,9.396696558516826e-05
mean_spo2,0.544287408316229,-0.0014217994336304107,0.0
min_xc_hr_spo2,0.5444328843124512,-0.001567275429852577,0.0
